Name,Total,Sex,Year,Frequency
BRADEN,671,1.0,1915.0,0
BRADFORD,114,1.0,1915.0,0
BRADLEY,6602,1.0,1915.0,0
BRADLY,168,1.0,1915.0,0
BRADY,727,1.0,1915.0,0
BRADYN,5,1.0,1915.0,0
BRAEDAN,20,1.0,1915.0,0
BRAEDEN,560,1.0,1915.0,0
BRAEDON,119,1.0,1915.0,0
BRAELYN,12,2.0,1915.0,0
BRAIDEN,146,1.0,1915.0,0
BRANDAN,35,1.0,1915.0,0
BRANDEE,60,2.0,1915.0,0
BRANDEN,371,1.0,1915.0,0
BRANDI,589,2.0,1915.0,0
BRANDIE,63,2.0,1915.0,0
BRANDON,6910,1.0,1915.0,0
BRANDY,620,2.0,1915.0,0
BRANDYN,48,1.0,1915.0,0
BRANT,43,1.0,1915.0,0
BRANTLEY,25,1.0,1915.0,0
BRAXTON,147,1.0,1915.0,0
BRAYDEN,1594,1.0,1915.0,0
BRAYDON,302,1.0,1915.0,0
BREA,6,2.0,1915.0,0
BREANN,16,2.0,1915.0,0
BREANNA,915,2.0,1915.0,0
BREANNE,506,2.0,1915.0,0
BREE,77,2.0,1915.0,0
BRENDA,5484,2.0,1915.0,0
BRENDA-LEE,13,2.0,1915.0,0
BRENDAN,2194,1.0,1915.0,0
BRENDEN,467,1.0,1915.0,0
BRENDON,262,1.0,1915.0,0
BRENNA,365,2.0,1915.0,0
BRENNAN,559,1.0,1915.0,0
BRENNEN,51,1.0,1915.0,0
BRENT,3330,1.0,1915.0,0
BRENTON,84,1.0,1915.0,0
BRET,46,1.0,1915.0,0
BRETT,2234,1.0,1915.0,0
BRETT,24,2.0,1915.0,0
BRIA,57,2.0,1915.0,0
BRIAN,12839,1.0,1915.0,0
BRIANA,241,2.0,1915.0,0
BRIANNA,1707,2.0,1915.0,0
BRIANNE,598,2.0,1915.0,0
BRIAR,26,2.0,1915.0,0
BRIDGET,339,2.0,1915.0,0
BRIE,16,2.0,1915.0,0
BRIEANNA,5,2.0,1915.0,0
BRIEANNE,5,2.0,1915.0,0
BRIELLA,14,2.0,1915.0,0
BRIELLE,323,2.0,1915.0,0
BRIGETTE,10,2.0,1915.0,0
BRIGITTE,62,2.0,1915.0,0
BRINLEY,22,2.0,1915.0,0
BRITANY,5,2.0,1915.0,0
BRITNEY,214,2.0,1915.0,0
